gateway_id,device_id,device_name,device_type,site,building,floor,installation_area,target_area,panel,point_type,point_specification,point_id,point_name,writable,interval,unit,max_pres_value,min_pres_value,labels,states,scale,tags,description,supplier,owner,local_id,device_id_bacnet,object_type_bacnet,instance_no_bacnet
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Room 101,Room 101,,Temperature,Measurement,MQTT-PT-001,Zone Temperature (Z1A),false,60,degC,35,10,,,1.0,temperature&&z1a,Zone air temperature (z1a),,,hvac-sim-sos/z1a/temp,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Room 101,Room 101,,Humidity,Measurement,MQTT-PT-002,Zone Humidity (Z1A),false,60,%,100,0,,,1.0,humidity&&z1a,Zone relative humidity (z1a),,,hvac-sim-sos/z1a/humidity,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Room 101,Room 101,,CO2,Measurement,MQTT-PT-003,Zone CO2 (Z1A),false,120,ppm,2000,400,,,1.0,co2&&z1a,Zone CO2 concentration (z1a),,,hvac-sim-sos/z1a/co2,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Room 101,Room 101,,Occupancy,Status,MQTT-PT-004,Zone Occupancy (Z1A),false,60,,,,Unoccupied&&Occupied,Unoccupied|Occupied,1.0,occupancy&&z1a,Zone occupancy status (z1a),,,hvac-sim-sos/z1a/occupancy,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Room 101,Room 101,,Setpoint,Setpoint,MQTT-PT-005,Zone Temperature Setpoint (Z1A),true,0,degC,28,18,,,1.0,setpoint&&z1a,Zone temperature setpoint (z1a),,,hvac-sim-sos/z1a/setpoint,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Room 102,Room 102,,Temperature,Measurement,MQTT-PT-006,Zone Temperature (Z1B),false,60,degC,35,10,,,1.0,temperature&&z1b,Zone air temperature (z1b),,,hvac-sim-sos/z1b/temp,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Room 102,Room 102,,Humidity,Measurement,MQTT-PT-007,Zone Humidity (Z1B),false,60,%,100,0,,,1.0,humidity&&z1b,Zone relative humidity (z1b),,,hvac-sim-sos/z1b/humidity,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Room 102,Room 102,,CO2,Measurement,MQTT-PT-008,Zone CO2 (Z1B),false,120,ppm,2000,400,,,1.0,co2&&z1b,Zone CO2 concentration (z1b),,,hvac-sim-sos/z1b/co2,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Room 102,Room 102,,Occupancy,Status,MQTT-PT-009,Zone Occupancy (Z1B),false,60,,,,Unoccupied&&Occupied,Unoccupied|Occupied,1.0,occupancy&&z1b,Zone occupancy status (z1b),,,hvac-sim-sos/z1b/occupancy,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Room 102,Room 102,,Setpoint,Setpoint,MQTT-PT-010,Zone Temperature Setpoint (Z1B),true,0,degC,28,18,,,1.0,setpoint&&z1b,Zone temperature setpoint (z1b),,,hvac-sim-sos/z1b/setpoint,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-2,Room 201,Room 201,,Temperature,Measurement,MQTT-PT-011,Zone Temperature (Z2A),false,60,degC,35,10,,,1.0,temperature&&z2a,Zone air temperature (z2a),,,hvac-sim-sos/z2a/temp,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-2,Room 201,Room 201,,Humidity,Measurement,MQTT-PT-012,Zone Humidity (Z2A),false,60,%,100,0,,,1.0,humidity&&z2a,Zone relative humidity (z2a),,,hvac-sim-sos/z2a/humidity,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-2,Room 201,Room 201,,CO2,Measurement,MQTT-PT-013,Zone CO2 (Z2A),false,120,ppm,2000,400,,,1.0,co2&&z2a,Zone CO2 concentration (z2a),,,hvac-sim-sos/z2a/co2,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-2,Room 201,Room 201,,Occupancy,Status,MQTT-PT-014,Zone Occupancy (Z2A),false,60,,,,Unoccupied&&Occupied,Unoccupied|Occupied,1.0,occupancy&&z2a,Zone occupancy status (z2a),,,hvac-sim-sos/z2a/occupancy,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-2,Room 201,Room 201,,Setpoint,Setpoint,MQTT-PT-015,Zone Temperature Setpoint (Z2A),true,0,degC,28,18,,,1.0,setpoint&&z2a,Zone temperature setpoint (z2a),,,hvac-sim-sos/z2a/setpoint,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-2,Room 202,Room 202,,Temperature,Measurement,MQTT-PT-016,Zone Temperature (Z2B),false,60,degC,35,10,,,1.0,temperature&&z2b,Zone air temperature (z2b),,,hvac-sim-sos/z2b/temp,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-2,Room 202,Room 202,,Humidity,Measurement,MQTT-PT-017,Zone Humidity (Z2B),false,60,%,100,0,,,1.0,humidity&&z2b,Zone relative humidity (z2b),,,hvac-sim-sos/z2b/humidity,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-2,Room 202,Room 202,,CO2,Measurement,MQTT-PT-018,Zone CO2 (Z2B),false,120,ppm,2000,400,,,1.0,co2&&z2b,Zone CO2 concentration (z2b),,,hvac-sim-sos/z2b/co2,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-2,Room 202,Room 202,,Occupancy,Status,MQTT-PT-019,Zone Occupancy (Z2B),false,60,,,,Unoccupied&&Occupied,Unoccupied|Occupied,1.0,occupancy&&z2b,Zone occupancy status (z2b),,,hvac-sim-sos/z2b/occupancy,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-2,Room 202,Room 202,,Setpoint,Setpoint,MQTT-PT-020,Zone Temperature Setpoint (Z2B),true,0,degC,28,18,,,1.0,setpoint&&z2b,Zone temperature setpoint (z2b),,,hvac-sim-sos/z2b/setpoint,,,
GW-SOS-MQTT-001,DEV-AHU-MQTT-1,Air Handling Unit 01,AHU,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,AHU Room,All Zones,,Setpoint,Setpoint,MQTT-PT-021,AHU Supply Air Setpoint,true,0,degC,20,12,,,1.0,setpoint&&ahu,AHU supply air temperature setpoint,,,hvac-sim-sos/ahu/supply-setpoint,,,
GW-SOS-MQTT-001,DEV-CHILLER-MQTT-1,Chiller 01,Chiller,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Mechanical Room,Plant,,Temperature,Measurement,MQTT-PT-022,Chilled Water Supply Temperature,false,60,degC,15,4,,,1.0,temperature&&chiller,Chilled water supply temperature,,,hvac-sim-sos/chiller/chw-supply-temp,,,
GW-SOS-MQTT-001,DEV-CHILLER-MQTT-1,Chiller 01,Chiller,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Mechanical Room,Plant,,Temperature,Measurement,MQTT-PT-023,Chilled Water Return Temperature,false,60,degC,20,6,,,1.0,temperature&&chiller,Chilled water return temperature,,,hvac-sim-sos/chiller/chw-return-temp,,,
GW-SOS-MQTT-001,DEV-CHILLER-MQTT-1,Chiller 01,Chiller,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Mechanical Room,Plant,,Compressor,Status,MQTT-PT-024,Compressor Status,false,60,,,,Off&&On,Off|On,1.0,status&&chiller,Chiller compressor run status,,,hvac-sim-sos/chiller/compressor-status,,,
GW-SOS-MQTT-001,DEV-CHILLER-MQTT-1,Chiller 01,Chiller,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Mechanical Room,Plant,,Chiller,Command,MQTT-PT-025,Chiller On/Off Command,true,0,,,,Off&&On,Off|On,1.0,command&&chiller,Chiller on/off command,,,hvac-sim-sos/chiller/onoff-command,,,
GW-SOS-MQTT-001,DEV-CHILLER-MQTT-1,Chiller 01,Chiller,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Mechanical Room,Plant,,Setpoint,Setpoint,MQTT-PT-026,Chiller Setpoint Temperature,true,0,degC,12,5,,,1.0,setpoint&&chiller,Chilled water supply temperature setpoint,,,hvac-sim-sos/chiller/setpoint-temp,,,
GW-SOS-MQTT-001,DEV-WEATHER-MQTT-1,Weather Station 01,Weather,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Rooftop,Outdoor,,Temperature,Measurement,MQTT-PT-027,Outdoor Temperature,false,300,degC,45,-20,,,1.0,temperature&&outdoor,Outdoor air temperature,,,hvac-sim-sos/outdoor/temp,,,
GW-SOS-MQTT-001,DEV-WEATHER-MQTT-1,Weather Station 01,Weather,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Rooftop,Outdoor,,Humidity,Measurement,MQTT-PT-028,Outdoor Humidity,false,300,%,100,0,,,1.0,humidity&&outdoor,Outdoor relative humidity,,,hvac-sim-sos/outdoor/humidity,,,
GW-SOS-MQTT-001,DEV-WEATHER-MQTT-1,Weather Station 01,Weather,site-e2e-mqtt,bldg-e2e-mqtt,floor-mqtt-1,Rooftop,Outdoor,,WindSpeed,Measurement,MQTT-PT-029,Wind Speed,false,300,m/s,60,0,,,1.0,wind&&outdoor,Outdoor wind speed,,,hvac-sim-sos/outdoor/wind-speed,,,
